Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 36.7334: (MOVER_FURGONETA F2 D1 E1 CA1 CIUDAD1) [D:1.0000; C:0.1000]
 37.7334: (MOVER_FURGONETA F2 D1 CA1 A1 CIUDAD1) [D:1.0000; C:0.1000]
 38.7000: (UNLOAD T2 E3 P7) [D:2.0000; C:0.1000]
 38.7000: (LOAD T2 E3 P23) [D:4.0000; C:0.1000]
 38.7334: (UNLOAD F2 A1 P40) [D:4.0000; C:0.1000]
 38.7334: (UNLOAD F2 A1 P20) [D:4.0000; C:0.1000]
 39.7334: (MOVER_TREN T1 E1 E4) [D:2.5000; C:0.1000]
 40.7000: (LOAD F3 E3 P7) [D:2.0000; C:0.1000]
 42.2334: (UNLOAD T1 E4 P22) [D:3.0000; C:0.1000]
 42.7000: (MOVER_FURGONETA F3 D2 E3 CA2 CIUDAD2) [D:3.0000; C:0.1000]
 42.7334: (MOVER_FURGONETA F2 D1 A1 CA1 CIUDAD1) [D:1.0000; C:0.1000]
 43.7334: (UNLOAD F2 CA1 P36) [D:4.0000; C:0.1000]
 45.2334: (MOVER_TREN T1 E4 E2) [D:2.0000; C:0.1000]
 45.2334: (LOAD F4 E4 P22) [D:3.0000; C:0.1000]
 45.7000: (LOAD F3 CA2 P11) [D:2.0000; C:0.1000]
 45.7000: (LOAD F3 CA2 P21) [D:2.0000; C:0.1000]
 45.7000: (LOAD F3 CA2 P2) [D:3.0000; C:0.1000]
 45.7000: (LOAD F3 CA2 P31) [D:2.0000; C:0.1000]
 45.7000: (LOAD F3 CA2 P26) [D:4.0000; C:0.1000]
 45.7000: (LOAD F3 CA2 P30) [D:4.0000; C:0.1000]
 45.7000: (UNLOAD F3 CA2 P5) [D:3.0000; C:0.1000]
 47.2334: (MOVER_TREN T1 E2 E3) [D:3.0000; C:0.1000]
 47.7334: (MOVER_FURGONETA F2 D1 CA1 A1 CIUDAD1) [D:1.0000; C:0.1000]
 49.7000: (MOVER_FURGONETA F3 D2 CA2 A2 CIUDAD2) [D:1.6000; C:0.1000]
 50.2334: (UNLOAD T1 E3 P27) [D:2.0000; C:0.1000]
 51.3000: (UNLOAD F3 A2 P26) [D:4.0000; C:0.1000]
 52.2334: (MOVER_TREN T1 E3 E1) [D:3.0000; C:0.1000]
 55.2334: (LOAD T1 E1 P37) [D:2.0000; C:0.1000]
 55.3000: (MOVER_FURGONETA F3 D2 A2 CA2 CIUDAD2) [D:1.6000; C:0.1000]
 55.3000: (LOAD AV2 A2 P26) [D:4.0000; C:0.1000]
 56.9000: (MOVER_FURGONETA F3 D2 CA2 E3 CIUDAD2) [D:3.0000; C:0.1000]
 57.2334: (MOVER_TREN T1 E1 E3) [D:3.0000; C:0.1000]
 59.3000: (MOVER_AVION AV2 A2 A1 CIUDAD2 CIUDAD1) [D:0.6667; C:0.1000]
 59.9000: (UNLOAD F3 E3 P31) [D:2.0000; C:0.1000]
 59.9000: (UNLOAD F3 E3 P2) [D:3.0000; C:0.1000]
 59.9000: (UNLOAD F3 E3 P21) [D:2.0000; C:0.1000]
 59.9000: (UNLOAD F3 E3 P11) [D:2.0000; C:0.1000]
 59.9667: (LOAD AV2 A1 P29) [D:4.0000; C:0.1000]
 59.9667: (LOAD AV2 A1 P9) [D:4.0000; C:0.1000]
 59.9667: (LOAD AV2 A1 P39) [D:4.0000; C:0.1000]
 59.9667: (LOAD AV2 A1 P19) [D:4.0000; C:0.1000]
 60.2334: (UNLOAD T1 E3 P37) [D:2.0000; C:0.1000]
 61.9000: (LOAD T2 E3 P11) [D:2.0000; C:0.1000]
 61.9000: (LOAD T2 E3 P21) [D:2.0000; C:0.1000]
 61.9000: (LOAD T2 E3 P31) [D:2.0000; C:0.1000]
 62.2334: (MOVER_TREN T1 E3 E4) [D:2.5000; C:0.1000]
 62.9000: (MOVER_FURGONETA F3 D2 E3 A2 CIUDAD2) [D:3.0000; C:0.1000]
 62.9000: (LOAD T2 E3 P2) [D:3.0000; C:0.1000]
 63.9667: (MOVER_AVION AV2 A1 A2 CIUDAD1 CIUDAD2) [D:0.6667; C:0.1000]
 64.6334: (UNLOAD AV2 A2 P29) [D:4.0000; C:0.1000]
 64.6334: (UNLOAD AV2 A2 P9) [D:4.0000; C:0.1000]
 64.6334: (UNLOAD AV2 A2 P39) [D:4.0000; C:0.1000]
 64.6334: (UNLOAD AV2 A2 P19) [D:4.0000; C:0.1000]
 64.7334: (UNLOAD T1 E4 P1) [D:2.0000; C:0.1000]
 65.9000: (MOVER_FURGONETA F3 D2 A2 E3 CIUDAD2) [D:3.0000; C:0.1000]
 65.9000: (MOVER_TREN T2 E3 E4) [D:2.5000; C:0.1000]
 66.7334: (LOAD F4 E4 P1) [D:2.0000; C:0.1000]
 66.7334: (MOVER_TREN T1 E4 E1) [D:2.5000; C:0.1000]
 68.4000: (UNLOAD T2 E4 P11) [D:2.0000; C:0.1000]
 68.4000: (UNLOAD T2 E4 P21) [D:2.0000; C:0.1000]
 68.4000: (UNLOAD T2 E4 P23) [D:4.0000; C:0.1000]
 68.4000: (UNLOAD T2 E4 P2) [D:3.0000; C:0.1000]
 68.4000: (UNLOAD T2 E4 P31) [D:2.0000; C:0.1000]
 68.6334: (MOVER_AVION AV2 A2 A1 CIUDAD2 CIUDAD1) [D:0.6667; C:0.1000]
 68.9000: (LOAD F3 E3 P27) [D:2.0000; C:0.1000]
 68.9000: (LOAD F3 E3 P37) [D:2.0000; C:0.1000]
 69.2334: (UNLOAD T1 E1 P38) [D:3.0000; C:0.1000]
 69.3001: (UNLOAD AV2 A1 P26) [D:4.0000; C:0.1000]
 70.4000: (LOAD F4 E4 P11) [D:2.0000; C:0.1000]
 70.4000: (LOAD F4 E4 P21) [D:2.0000; C:0.1000]
 70.4000: (LOAD F4 E4 P31) [D:2.0000; C:0.1000]
